startstation,endstation,trips
Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,1330
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),1322
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,1116
Market at Sansome,2nd at South Park,866
Embarcadero at Sansome,Steuart at Market,811
2nd at South Park,Market at Sansome,798
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),782
2nd at Townsend,Harry Bridges Plaza (Ferry Building),757
Steuart at Market,Embarcadero at Sansome,717
Harry Bridges Plaza (Ferry Building),2nd at Townsend,710
San Francisco Caltrain (Townsend at 4th),Embarcadero at Folsom,695
Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),671
Steuart at Market,2nd at Townsend,654
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),647
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),644
Embarcadero at Sansome,Embarcadero at Sansome,636
San Francisco Caltrain (Townsend at 4th),Steuart at Market,609
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),598
Mountain View Caltrain Station,Mountain View City Hall,592
San Francisco Caltrain (Townsend at 4th),Townsend at 7th,568
Harry Bridges Plaza (Ferry Building),Harry Bridges Plaza (Ferry Building),550
Steuart at Market,San Francisco Caltrain (Townsend at 4th),538
2nd at Folsom,Market at Sansome,537
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),530
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,521
Market at 10th,Market at 4th,516
5th at Howard,San Francisco Caltrain (Townsend at 4th),512
Santa Clara at Almaden,San Jose Diridon Caltrain Station,497
San Francisco Caltrain (Townsend at 4th),Yerba Buena Center of the Arts (3rd @ Howard),495
Mountain View City Hall,Mountain View Caltrain Station,494
Grant Avenue at Columbus Avenue,Market at Sansome,492
Temporary Transbay Terminal (Howard at Beale),2nd at Townsend,487
San Francisco Caltrain 2 (330 Townsend),5th at Howard,484
San Francisco Caltrain (Townsend at 4th),Market at Sansome,480
2nd at Townsend,Steuart at Market,474
Market at Sansome,San Francisco Caltrain (Townsend at 4th),448
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),443
Market at 4th,San Francisco Caltrain (Townsend at 4th),443
2nd at Folsom,San Francisco Caltrain (Townsend at 4th),430
Embarcadero at Bryant,San Francisco Caltrain (Townsend at 4th),430
San Francisco Caltrain (Townsend at 4th),Howard at 2nd,427
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),418
Market at Sansome,Harry Bridges Plaza (Ferry Building),408
San Jose Diridon Caltrain Station,Santa Clara at Almaden,403
Embarcadero at Bryant,Harry Bridges Plaza (Ferry Building),403
Market at 10th,San Francisco Caltrain (Townsend at 4th),401
Powell Street BART,Market at 10th,396
San Francisco Caltrain (Townsend at 4th),Embarcadero at Bryant,394
South Van Ness at Market,Civic Center BART (7th at Market),389
Market at Sansome,Embarcadero at Sansome,379
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),370
Civic Center BART (7th at Market),South Van Ness at Market,367
Market at 4th,Market at 10th,365
Townsend at 7th,Civic Center BART (7th at Market),360
South Van Ness at Market,Market at Sansome,353
2nd at South Park,San Francisco Caltrain (Townsend at 4th),346
San Francisco Caltrain (Townsend at 4th),Spear at Folsom,346
Civic Center BART (7th at Market),Townsend at 7th,345
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),345
Beale at Market,San Francisco Caltrain (Townsend at 4th),342
Harry Bridges Plaza (Ferry Building),Embarcadero at Vallejo,332
Embarcadero at Bryant,Embarcadero at Sansome,329
Steuart at Market,San Francisco Caltrain 2 (330 Townsend),328
Powell Street BART,San Francisco Caltrain (Townsend at 4th),320
Market at 4th,Harry Bridges Plaza (Ferry Building),319
Spear at Folsom,San Francisco Caltrain (Townsend at 4th),318
Howard at 2nd,2nd at South Park,317
2nd at Townsend,Temporary Transbay Terminal (Howard at Beale),317
Embarcadero at Vallejo,Embarcadero at Sansome,316
Grant Avenue at Columbus Avenue,San Francisco Caltrain (Townsend at 4th),313
Embarcadero at Sansome,Market at 4th,312
Market at 4th,Embarcadero at Sansome,311
San Francisco Caltrain (Townsend at 4th),2nd at Folsom,310
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),309
San Francisco Caltrain (Townsend at 4th),Embarcadero at Sansome,309
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain 2 (330 Townsend),307
Spear at Folsom,2nd at Townsend,307
San Francisco Caltrain (Townsend at 4th),2nd at Townsend,306
San Jose Diridon Caltrain Station,San Pedro Square,300
Market at Sansome,San Francisco Caltrain 2 (330 Townsend),299
Harry Bridges Plaza (Ferry Building),Market at Sansome,294
Harry Bridges Plaza (Ferry Building),Embarcadero at Bryant,293
Steuart at Market,Embarcadero at Bryant,288
San Francisco Caltrain (Townsend at 4th),2nd at South Park,288
Embarcadero at Sansome,Temporary Transbay Terminal (Howard at Beale),287
South Van Ness at Market,Market at 4th,285
Market at 10th,Powell Street BART,285
Embarcadero at Folsom,San Francisco Caltrain 2 (330 Townsend),284
2nd at Townsend,Embarcadero at Sansome,283
South Van Ness at Market,Powell Street BART,279
Embarcadero at Sansome,San Francisco Caltrain (Townsend at 4th),277
Powell Street BART,South Van Ness at Market,277
2nd at South Park,Harry Bridges Plaza (Ferry Building),274
Townsend at 7th,Harry Bridges Plaza (Ferry Building),274
Market at 4th,2nd at South Park,271
University and Emerson,University and Emerson,269
2nd at Townsend,San Francisco Caltrain (Townsend at 4th),266
Davis at Jackson,San Francisco Caltrain (Townsend at 4th),263
Mechanics Plaza (Market at Battery),Market at 4th,262
Harry Bridges Plaza (Ferry Building),Market at 4th,261
2nd at Townsend,Market at Sansome,258
Market at Sansome,Davis at Jackson,253
San Francisco Caltrain (Townsend at 4th),Davis at Jackson,252
Market at 4th,South Van Ness at Market,252
San Francisco Caltrain (Townsend at 4th),5th at Howard,248
Commercial at Montgomery,Market at Sansome,247
Embarcadero at Folsom,Embarcadero at Sansome,247
South Van Ness at Market,San Francisco Caltrain (Townsend at 4th),245
Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,244
San Francisco Caltrain 2 (330 Townsend),Market at 10th,243
Beale at Market,Embarcadero at Sansome,241
2nd at Folsom,Spear at Folsom,241
Grant Avenue at Columbus Avenue,Embarcadero at Folsom,239
2nd at Folsom,2nd at South Park,238
Temporary Transbay Terminal (Howard at Beale),5th at Howard,238
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Sansome,238
2nd at South Park,Howard at 2nd,236
San Jose Diridon Caltrain Station,Paseo de San Antonio,236
Davis at Jackson,Embarcadero at Sansome,236
Market at Sansome,2nd at Folsom,235
San Francisco Caltrain 2 (330 Townsend),Harry Bridges Plaza (Ferry Building),234
Embarcadero at Sansome,2nd at Townsend,233
Market at Sansome,2nd at Townsend,233
Spear at Folsom,San Francisco Caltrain 2 (330 Townsend),232
Embarcadero at Bryant,Embarcadero at Vallejo,232
San Francisco Caltrain (Townsend at 4th),Market at 4th,232
Golden Gate at Polk,San Francisco Caltrain (Townsend at 4th),231
Townsend at 7th,2nd at Townsend,230
Harry Bridges Plaza (Ferry Building),Townsend at 7th,230
San Pedro Square,San Jose Diridon Caltrain Station,229
Steuart at Market,Spear at Folsom,227
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),226
Market at Sansome,Grant Avenue at Columbus Avenue,224
Market at 4th,San Francisco Caltrain 2 (330 Townsend),223
Beale at Market,2nd at Townsend,222
Civic Center BART (7th at Market),San Francisco Caltrain (Townsend at 4th),221
Embarcadero at Folsom,2nd at Townsend,221
Commercial at Montgomery,Harry Bridges Plaza (Ferry Building),220
Howard at 2nd,2nd at Townsend,220
2nd at Folsom,2nd at Townsend,219
2nd at Townsend,Howard at 2nd,219
Market at 10th,Market at Sansome,219
2nd at South Park,San Francisco Caltrain 2 (330 Townsend),218
Harry Bridges Plaza (Ferry Building),Commercial at Montgomery,218
2nd at South Park,Temporary Transbay Terminal (Howard at Beale),217
Market at 4th,Market at 4th,216
Civic Center BART (7th at Market),Market at 4th,215
Embarcadero at Vallejo,Harry Bridges Plaza (Ferry Building),214
Market at Sansome,Commercial at Montgomery,214
Powell at Post (Union Square),Howard at 2nd,212
San Francisco Caltrain (Townsend at 4th),Clay at Battery,211
Temporary Transbay Terminal (Howard at Beale),2nd at South Park,211
Embarcadero at Sansome,Market at Sansome,210
Powell Street BART,Civic Center BART (7th at Market),208
Clay at Battery,Temporary Transbay Terminal (Howard at Beale),207
Powell at Post (Union Square),Embarcadero at Sansome,207
San Francisco Caltrain (Townsend at 4th),Mechanics Plaza (Market at Battery),206
Commercial at Montgomery,Powell Street BART,205
Market at 4th,Townsend at 7th,205
Embarcadero at Sansome,Embarcadero at Folsom,204
Powell at Post (Union Square),Powell at Post (Union Square),203
Market at Sansome,Steuart at Market,203
